emd_nm,base_date,city,em_cnt,em_g,pay_amt,em_g_per_cnt,year,month,day,week,day_of_week,season,redday,kor_cnt,kor_amt,fast_cnt,fast_amt,af_cnt,af_amt,mart_cnt,mart_amt,food_cnt,food_amt,west_cnt,west_amt,des_cnt,des_amt,asia_cnt,asia_amt,deliv_cnt,deliv_amt,geo_type,observed,trend,seasonal,em_cnt_variant,em_g_variant,pay_amt_variant,em_g_per_cnt_variant
알수없음,2018-01-01,알수없음,41.0,398950.0,11960.0,9730.487804878048,2018,1,1,1,0,3,1,39,989365,5,116858,5,570542,34,1439219,15,369919,5,249428,5,35352,5,137480,,,알수없음,398950.0,280189.66277345206,5872.029663124529,-0.028477546549835708,-344.9069003285871,-10.342825848849944,-4.520432060837567
알수없음,2018-01-02,알수없음,39.0,271600.0,8137.0,6964.102564102564,2018,1,2,1,1,3,1,59,20770528,,,5,126580,34,1920596,10,805191,,,10,234698,10,495910,,,알수없음,271600.0,279866.4877641825,-4642.9489869885065,-2.0,-127350.0,-3823.0,-2766.385240775484
알수없음,2018-01-03,알수없음,32.0,301650.0,9041.0,9426.5625,2018,1,3,1,2,3,0,29,436990,5,36825,15,539707,34,1167942,5,146760,5,196400,5,33634,,,,,알수없음,301650.0,279543.31275491294,3395.513223113519,-7.0,30050.0,904.0,2462.4599358974356
알수없음,2018-01-04,알수없음,27.0,289850.0,8689.0,10735.185185185184,2018,1,4,1,3,3,0,39,829790,10,36825,5,72668,15,101637,25,1414473,5,83470,5,14730,,,,,알수없음,289850.0,279220.1377456434,2787.5775837531824,-5.0,-11800.0,-352.0,1308.6226851851843
알수없음,2018-01-05,알수없음,35.0,253150.0,7588.0,7232.857142857143,2018,1,5,1,4,3,0,44,1394440,10,85925,,,59,3502990,5,85434,5,363340,20,142390,15,615223,5,58920,알수없음,253150.0,278896.9627363738,-6433.073109370601,8.0,-36700.0,-1101.0,-3502.328042328041
알수없음,2018-01-06,알수없음,34.0,289050.0,8664.0,8501.470588235294,2018,1,6,1,5,3,0,74,1796078,10,195909,20,2774150,34,893816,15,2228305,,,15,180688,5,137480,,,알수없음,289050.0,278573.78772710427,-15957.487243354606,-1.0,35900.0,1076.0,1268.6134453781506
알수없음,2018-01-07,알수없음,49.0,332800.0,9972.0,6791.836734693878,2018,1,7,1,6,3,0,39,1243212,10,92799,,,49,1790432,10,256498,,,15,225369,15,964815,5,95745,알수없음,332800.0,278250.6127178347,-6311.121807446122,15.0,43750.0,1308.0,-1709.633853541416
알수없음,2018-01-08,알수없음,26.0,154850.0,4638.0,5955.7692307692305,2018,1,8,2,0,3,0,20,711950,5,60148,,,49,1898255,15,674487,,,10,166449,,,,,알수없음,154850.0,277927.43770856515,-5401.933790892494,-23.0,-177950.0,-5334.0,-836.0675039246471
알수없음,2018-01-09,알수없음,36.0,307500.0,9216.0,8541.666666666666,2018,1,9,2,1,3,0,34,474306,20,499838,5,59804,54,1928108,15,457956,10,180197,5,35352,5,34370,,,알수없음,307500.0,277604.26269929553,-4103.127494768954,10.0,152650.0,4578.0,2585.8974358974356
알수없음,2018-01-10,알수없음,26.0,220200.0,6597.0,8469.23076923077,2018,1,10,2,2,3,0,44,979545,10,275451,5,98200,59,1304096,5,8445,,,15,199837,5,201310,,,알수없음,220200.0,277281.087690026,-727.8319513336014,-10.0,-87300.0,-2619.0,-72.43589743589655
알수없음,2018-01-11,알수없음,17.0,131350.0,3938.0,7726.470588235294,2018,1,11,2,3,3,0,20,495910,5,135025,,,34,1129987,5,101342,,,10,135516,,,,,알수없음,131350.0,276957.9126807564,-44.638558435873406,-9.0,-88850.0,-2659.0,-742.7601809954758
알수없음,2018-01-12,알수없음,28.0,217150.0,6506.0,7755.357142857143,2018,1,12,2,4,3,0,34,677580,5,117840,5,112930,64,1322361,25,2695050,5,95745,15,126089,,,5,31915,알수없음,217150.0,276634.73767148686,-16638.138713925247,11.0,85800.0,2568.0,28.886554621849427
알수없음,2018-01-13,알수없음,49.0,428050.0,12827.0,8735.714285714286,2018,1,13,2,5,3,0,69,2576277,15,300001,,,49,3153939,5,107922,15,810641,15,151228,10,206220,,,알수없음,428050.0,276311.5626622173,4528.307367144517,21.0,210900.0,6321.0,980.3571428571431
알수없음,2018-01-14,알수없음,42.0,281450.0,8433.0,6701.190476190476,2018,1,14,2,6,3,0,25,1455815,5,79542,,,74,3224839,20,227529,5,692801,10,147791,10,343700,5,78560,알수없음,281450.0,275988.38765294774,-10494.926568450994,-7.0,-146600.0,-4394.0,-2034.52380952381
알수없음,2018-01-15,알수없음,41.0,301750.0,9043.0,7359.756097560976,2018,1,15,3,0,3,0,54,1357615,5,88380,10,267595,49,1890252,15,314240,5,97218,15,113421,5,78560,,,알수없음,301750.0,275665.2126436782,-425.8485125864447,-1.0,20300.0,610.0,658.5656213704997
알수없음,2018-01-16,알수없음,29.0,210550.0,6309.0,7260.3448275862065,2018,1,16,3,1,3,0,79,1580038,5,69231,10,1959090,39,764782,20,151572,,,25,84452,10,169395,,,알수없음,210550.0,284104.1666666667,-8947.674757797167,-12.0,-91200.0,-2734.0,-99.41126997476931
알수없음,2018-01-17,알수없음,49.0,408050.0,12226.0,8327.551020408164,2018,1,17,3,2,3,0,59,2194279,10,98200,10,166940,59,2076144,10,509904,,,,,5,181670,5,57751,알수없음,408050.0,282084.1666666667,-6686.758091130504,20.0,197500.0,5917.0,1067.2061928219573
알수없음,2018-01-18,알수없음,48.0,337350.0,10108.0,7028.125,2018,1,18,3,3,3,0,25,780690,5,9820,,,34,1258924,5,58920,,,5,14730,5,333880,5,67758,알수없음,337350.0,280320.8333333333,15696.491908869497,-1.0,-70700.0,-2118.0,-1299.4260204081638
알수없음,2018-01-19,알수없음,39.0,345500.0,10357.0,8858.97435897436,2018,1,19,3,4,3,0,25,819970,25,328970,10,711950,59,1422132,20,1307975,,,10,97709,,,,,알수없음,345500.0,278885.8333333333,18979.769686647265,-9.0,8150.0,249.0,1830.8493589743593
알수없음,2018-01-20,알수없음,47.0,254600.0,7628.0,5417.021276595745,2018,1,20,3,5,3,0,88,2365147,10,200328,10,1669400,74,4153222,15,225074,5,343700,15,265140,15,328970,,,알수없음,254600.0,277580.8333333333,-13220.896980019395,8.0,-90900.0,-2729.0,-3441.9530823786145
알수없음,2018-01-21,알수없음,34.0,311350.0,9330.0,9157.35294117647,2018,1,21,3,6,3,0,20,549920,5,85581,5,49100,44,3534218,5,520804,5,407530,10,213340,5,147300,,,알수없음,311350.0,273785.0,26879.741908869502,-13.0,56750.0,1702.0,3740.3316645807254
알수없음,2018-01-22,알수없음,45.0,396400.0,11883.0,8808.888888888889,2018,1,22,4,0,3,0,20,1065470,5,55483,15,498856,54,2304509,10,112930,,,15,174796,5,368250,,,알수없음,396400.0,266838.3333333334,-410.2025355749529,11.0,85050.0,2553.0,-348.4640522875816
알수없음,2018-01-23,알수없음,26.0,187550.0,5619.0,7213.461538461538,2018,1,23,4,1,3,0,25,314240,10,102619,15,289690,44,1406862,5,11293,,,5,80524,5,466450,,,알수없음,187550.0,264842.5,5849.380797758383,-19.0,-208850.0,-6264.0,-1595.4273504273506
알수없음,2018-01-24,알수없음,28.0,232950.0,6983.0,8319.642857142857,2018,1,24,4,2,3,0,29,908350,10,109002,,,69,2187356,10,226351,,,29,349592,,,,,알수없음,232950.0,266520.8333333334,-1948.2303133527305,2.0,45400.0,1364.0,1106.1813186813188
알수없음,2018-01-25,알수없음,31.0,339800.0,10187.0,10961.290322580646,2018,1,25,4,3,3,0,69,2305245,5,93290,,,44,974537,10,76891,5,293127,20,184321,5,98200,,,알수없음,339800.0,267918.3333333334,-3227.452535574955,3.0,106850.0,3204.0,2641.647465437789
알수없음,2018-01-26,알수없음,33.0,234750.0,7035.0,7113.636363636364,2018,1,26,4,4,3,0,39,1104750,15,259395,15,448774,88,5776320,10,252374,,,20,291654,5,39280,,,알수없음,234750.0,271602.5,13265.908575536174,2.0,-105050.0,-3152.0,-3847.653958944282
알수없음,2018-01-27,알수없음,35.0,340350.0,10203.0,9724.285714285714,2018,1,27,4,5,3,0,34,1325700,15,89853,5,19493,10,175042,29,910019,10,157120,5,33388,5,31915,,,알수없음,340350.0,274170.0,-10427.396980019395,2.0,105600.0,3168.0,2610.64935064935
알수없음,2018-01-28,알수없음,27.0,223200.0,6687.0,8266.666666666666,2018,1,28,4,6,3,0,39,1102295,10,59902,5,206220,83,3518261,5,1227500,,,5,108020,5,110475,5,86416,알수없음,223200.0,271830.8333333334,18025.797464425043,-8.0,-117150.0,-3516.0,-1457.6190476190477
알수없음,2018-01-29,알수없음,34.0,291750.0,8744.0,8580.882352941177,2018,1,29,5,0,3,0,34,1301150,10,139444,5,81997,64,2581531,15,139690,5,33879,5,78560,10,230770,,,알수없음,291750.0,268485.0,-8711.358849174425,7.0,68550.0,2057.0,314.2156862745105
알수없음,2018-01-30,알수없음,41.0,270800.0,8113.0,6604.878048780488,2018,1,30,5,1,3,0,69,2848782,10,123732,5,95745,34,2597292,25,152210,,,25,290868,5,166940,,,알수없음,270800.0,267512.5,9480.529600955355,7.0,-20950.0,-631.0,-1976.0043041606887
알수없음,2018-01-31,알수없음,39.0,316600.0,9492.0,8117.948717948718,2018,1,31,5,2,3,0,25,764487,5,45172,5,149215,74,2656408,29,810346,,,15,205238,10,235680,,,알수없음,316600.0,268842.5,5872.029663124529,-2.0,45800.0,1379.0,1513.0706691682299
알수없음,2018-02-01,알수없음,34.0,232750.0,6978.0,6845.588235294118,2018,2,1,5,3,3,0,15,2171160,,,5,271395,20,946997,10,82641,,,5,33741,5,58680,,,알수없음,232750.0,266810.8333333334,-4642.9489869885065,-5.0,-83850.0,-2514.0,-1272.3604826545998
