"행정구역별(읍면동)",2020,2020,2020,2020,2020,2020,2020
"행정구역별(읍면동)",1인,2인,3인,4인,5인,6인,7인 이상
"한림읍",2705,2751,1485,975,379,110,43
"애월읍",4246,4205,2681,1892,773,226,78
"구좌읍",2047,1999,1007,642,243,98,45
"조천읍",2665,3046,1814,1327,525,146,47
"한경면",1186,1386,614,315,135,38,15
"일도1동",594,320,163,97,25,7,X
"일도2동",2894,3609,2660,2190,770,167,59
"이도1동",1280,806,549,395,126,33,6
"이도2동",5560,4916,3881,3371,1117,224,64
"삼도1동",1602,1535,1003,780,289,84,23
"삼도2동",1372,992,593,378,153,42,9
"용담1동",1026,827,506,378,111,47,9
"용담2동",1494,1707,1122,814,330,94,43
"건입동",1067,1087,700,515,182,52,16
"화북동",2313,2361,2002,1690,569,115,20
"삼양동",2117,2224,1922,1931,662,123,48
"봉개동",619,570,411,292,101,30,11
"아라동",5351,3379,2744,2365,844,145,36
"오라동",1215,1378,1240,1186,343,72,26
"연동",7973,4573,2931,2311,770,129,40
"노형동",6321,5367,4353,3806,1147,226,59
"외도동",1869,2016,1732,1506,543,126,41
"이호동",425,540,366,263,95,23,11
"도두동",426,329,229,176,83,12,10
"대정읍",2639,2787,1696,1043,341,90,36
"남원읍",1840,2318,1330,875,366,139,49
"성산읍",2240,2092,1040,610,222,70,37
"안덕면",1691,1444,809,520,200,94,26
"표선면",1694,1626,793,530,203,66,28
"송산동",512,533,296,171,84,24,14
"정방동",517,278,119,61,43,10,6
"중앙동",765,440,224,127,45,24,7
"천지동",720,476,216,117,50,13,9
"효돈동",431,664,427,255,113,28,12
"영천동",546,610,358,248,84,36,12
"동홍동",2305,2503,1726,1466,512,134,42
"서홍동",1001,1016,748,699,251,58,15
"대륜동",1664,1795,1089,795,286,64,26
"대천동",1989,1480,1028,802,248,52,25
"중문동",1654,1311,824,594,237,64,25
"예래동",609,490,262,145,73,25,8
